@relation 'opinion'
@attribute 'doc' string
@attribute '$class' {-1, 1}

@data
"redeeming appalling video video good special poor video scary impending main hackneyed whole dreary unpredictable first modern great ", -1
"good good good other blonde only bad acting bad dumb whole good other frank strange fried blonde only fried good nervous scared facial blonde crying frank confusing confusing dead next alive dumb okay decent average teen intentional only ", -1
"crazy religious real young unlikely extreme fat young interested crazy old scary fundamentalist tight constant borderline several particular religious odd interesting other outstanding ", -1
"worth positive @card@ positive entire close real spot ", -1
"awful pretentious trite petty more ", -1
"teenage entertaining Gothic constant 6th ", -1
"same like eager first nostalgic down correct civil jumbo possible controversial stupid functional cold hard few interested ", -1
"possible horrible awful manic beloved criminal dimensional fast red wrought fine superior good sad young sure self-respecting card-carrying timeless original only good ", -1
"definite resounding other positive mystical metaphysical such open only interesting informative cellular only unifying documentary several native able scientific visual famous convincing unsupported mystical documentary interesting least disjointed intrusive stupid Polish least funny laughable ludicrous sophomoric stupid wrong such okay pejorative okay ethnic bigoted abysmal unbelievable most whole malcontent bad disjointed ", -1
"good good original least fresh remarkable worth wooden unrecognizable whole subtle original many special bad bad wrong awful right lousy high ", -1
"original able unsettling American original combined creepy great many poor dreadful such original more elegant ", -1
"personal only terrible overall amateurish bad acting atrocious silly ", -1
"amorous extra-marital flashy stuck hapless entire obvious pointless painful up-and-coming outstanding Oscar-winning hard particular ", -1
"big previous interesting entertaining high serious good special total compelling short regular bad ", -1
"funny funny disturbing disturbing disturbing good terrible material extreme worth awful ", -1
"crazy crazy crazy good sharp close little long wrong other major afraid crazy only adamant good own wrong crazy entire ", -1
"bad good bad awful poor bland stupid such only special low ", -1
"bad bad bad wary pornographic first many much violent sexy total many good little incomprehensible year-old year-old pretty old young final violent Rambo-like weird little sad bad enough sexy boring crazy ", -1
"bad witless separate unconnected different only common total redeeming fleeting nude nice right glamorous credible third disgusting unfortunate young first ready old cynical first possible early cynical new stalwart happy coherent bad schlock ", -1
"bad bad sweet dead special dead bad young ex-Army bad good prime bad wrong other old such ", -1
"bad heavy ", -1
"high bad disgraceful terrible big such special total ", -1
"funny main retarded horrible unimaginative such black wizard other warm funny childish funny painful cheap only available prime ", -1
"ancient Egyptian first bad long serious serious bad great less good funny wrong long hard more many other ", -1
"bad rebellious fellow continual nervous terrible hard awful ", -1
"interesting past bad bad first old long cool other good total predictable good many stupid embarrassing good other cold new intelligent decent ", -1
"dull sickening Italian male Italian cute mediocre redeeming unfortunate discernible ", -1
"interesting enough special dumb Russian funny bad bad possible ", -1
"bad bad redeeming interesting least gratuitous good putrid only glad ", -1
"historical good video actual entire whole small historical private charming weak gullible certain wise irrefutable true different major third irrefutable secret own public ", -1
"average poor ordinary full usual pathetic immature many important unimpressive other last simple slow good average ", -1
"funny same predictable enough more ", -1
"incomprehensible many other serial many bad solid excellent ", -1
"special bad hard manual bad first few bad only spiraling negative long unfunny real cute grotesque distasteful bad good titanic bad wrong criminal terrible awful ", -1
"frustrated commie many big other imaginable visual other able other obsolete Romanian immature illiterate ", -1
"terrible amateur new bad bad unfunny sad awful jaded low-budget hardened fast ", -1
"sure back wrong good first good good big bad wrong whole bad scary horrible smart stupid bad bad same potential many sleepless ", -1
"disgusting repellent violent weak horrible black whole few least young several beaten normal old clear other scary laughable sick bad God-awful pointless ", -1
"scary grave funny white excellent awful long funny unfunny shocking sloppy more dumb ", -1
"such unbelievable ridiculous experienced young predictable murky impossible several masochistic bad basic French able total first French serial good strange ", -1
"different superficial different comedic such stylistic incidental cynical omnipresent white apt literary top equal more new self-absorbed excellent true accessible other human single-minded specific real fictional straw successful clean free real mere topical great close ", -1
"female awful big dirty small 12th ill crazy right dangerous dangerous high good young sweet right previous real main pathetic weak incapable mature healthy other real atrocious other ", -1
"sorry first other scary nasty other fair good short happy entire bad other ", -1
"due such quick uneven sound paranoid Christian familiar evangelical bad good only paranoid ", -1
"bad confusing whole first main main main alternate sudden mental quick random sodding interested other other sodding grateful many local complete honest much sodding huge good mean painful ", -1
"bad good dumb only main ", -1
"other unrehearsed unconvincing amateur good dumb harsh fake ", -1
"horrible terrible unconvincing thin least funny little banal other total good ", -1
"big predictable bad only other enough ", -1
"video good experienced professional very sad sad pathetic definite video realistic bearable few disturbing naked bad awful senseless black funny sure various creepy professional many German realistic American obvious fellow sick stupid offensive worthless deserving ", -1
"several charmless bad tiresome comic funny humorless good smart promising more such terrific like limp daunting few good funny awful other supporting stupid good lame dull boring ", -1
"same more own same gross ", -1
"terrible much empty few nice few sarcastic hard able good few good short bad great young top-rated low-budget arrogant old ", -1
"same big aware perfect bad correct back correct good well-chosen skeptical first good ", -1
"half-breed Indian nasty drunk other stereotypical obvious healthy prior ready famous good different embarrassing surreal right ", -1
"many bad awful laughable necessary same great terrible bad cool serial possible useful ", -1
"good fair least same great ", -1
"mindless good good only good passable bad bad bad ", -1
"beautiful single false ", -1
"gutsy gutsy right total special confusing boring creepy good horrible good ", -1
"German most same great famous unfair same same clear Oscar-winning few bland less dangerous great typical famous paint-by-numbers bland obvious Chinese good-natured public less long enlightened devoted fine loyal most thunderous personal tactical real only fine prosthetic dramatic high quiet genial upper great many best-known unfair other complex famous real worthy worthy ", -1
"solid great good wrong unknown homeless other appalling new bad bad aforementioned direct video bad silly creative vintage ", -1
"great western brilliant first sure different great good poor least less whole pointless big low good great western enjoyable ", -1
"sure first predictable possible general good good bad bad other good good ostensible more limited good concerned bad bad good general true possible ", -1
"local bad awful other pointless real little leftover various funny good bad bad bad great ", -1
"wrong real most ashamed more more less good more ", -1
"standard awful near perfect unintentional few actual hard native American video ", -1
"tricky involved private original feeble insightful good true artistic professional private complex insipid American non-American recurrent inevitable unconvincing own ", -1
"ashamed same factual archaeological educational factual own @card@ wrong wrong young slow great ", -1
"dreadful worst-case great hammy small supernatural last well-done worth ", -1
"stupid stupid nice professional main weak stupid even scary tony ", -1
"good poor cool Japanese interesting good measly single single useless commercial pet least quiet talky boring long-winded hypocritical static funny funny worth wet ", -1
"new overwhelming Non new fashionable talented local ", -1
"long beautiful indolent obvious unexpected more heavy direct stiff whole worth eternal boring ", -1
"prime due pretty high lovely late cheap several mainstream lousy early simple very strong loud traditional great good animated little very long great classic ", -1
"top many ", -1
"most negative even darn darn ", -1
"talented usual moral impossible emotional liberal political good underwritten late dirty wrong customary much implausible other amateurish limited theatrical speedy ", -1
"new hackneyed unbelievable ridiculous serious ", -1
"major intellectual slow appalling convincing elite limited vague subjective good basic like primary stated celebrated handicapped capable worthless such high many high very low ", -1
"low-budget bad special weak ridiculous pointless new unsuspecting average poor realistic detailed long distant bloody distasteful poor horrendous much private simple poor low-budget poor cheap attractive cheap comical ", -1
"other young young gay only own rich good upward ", -1
"European complete complete boring right sure bad good complete hard good ", -1
"horrible moonlit remote major medical deadly deadly hazardous only altered new necessary deadly new different faulty shocking bad horrendous special bad stupid predictable dark small possible early different big massive special bad special horrendous dumb giant pitiful good enough passable primordial stupid more more ", -1
"overlong unfunny first white crude stupid crude idiotic first unfunny whole thin scary least quick constant main quick long disgusting funny first few silly more scary unfunny thin white enough ", -1
"few clever other lame thin two-dimensional most important original American solid good same aware numerous sexual multiple fine other much worth lame non-existent tame ", -1
"unnecessary pointless video crusty old wacky skilled least bad good bad ", -1
"difficult sheer new complete recognizable even small future hubristic terrific ambitious meager moldy German funny bad cinematic directorial good ugly eager weak throwaway hapless hapless much blind cheap cheap retarded likely ", -1
"bad idiotic horrible crazy oral just bad damn insane only serious entire bad cinematic serious good bad tedious idiotic worth other ", -1
"real good consistent first second third second true original ", -1
"many bad angry angry confusing enjoyable customary mind-blowing enough ", -1
"much-loved final degenerative original holy ironic abysmal successful original spin-off year-old ", -1
"stupid big taking most teen commercial brain-dead awesome second entertaining awful sick funny weird hot lucky fake real single deep whole ", -1
"first black political other ", -1
"many unexplored other evil unexplored static high-tech many sorry evil main first vague horrible new innovative back overall entire recycled cheesy ", -1
"many bad funny own bad old good good second bad first cool good ", -1
"old stupid disturbing OK teenage teenage sick disturbing bad constant boring old teenage underage boring other female bad ", -1
"scary scary wonderful stupid certain red female religious bad retarded retarded massive sudden furious retarded lone stupid religious excellent good ", -1
"honest only worth same huge main obligate last terrible boring sure infamous full ", -1
"many corrupt such weekly corrupt precious bad big free major most young ", -1
"rich human rich rich dumb worth good ", -1
"good fair good technical other lowly technical realistic vivid positive hard glaring shallow least poor good ironic explosive big ", -1
"good least clear key complete good adjoining vast daily numerous standard harsh pointless lousy bleak odious devoid ", -1
"young same brainy other black poor pretty decent more false sweet standard ugly blonde lame damn much extra own awful least ", -1
"crazed many bad recent right awful many awful awful awful awful physical adult ", -1
"special redeeming few such rampant young male infamous honest whole horrible live reasonable least thankful original honest good second few few ", -1
"bad good absolute gory plain abysmal main first good ", -1
"worthless second great worth worthwhile excruciating first single original long next original good clean absolute uninitiated first second funny insulting obvious elderly emotional bad ", -1
"unfunny terrible romantic comedic psychic drippy charmless anemic most sorry comic insurmountable tolerable utter interesting vast bland good stupid movie-going ", -1
"accurate true whole true bad brutal bad South bad fine political more great true ", -1
"first excellent odd good intriguing small spooky funny apparent whole good old wrong first original right ", -1
"dopey hack strange dumb naive many funny stereotypical right dumb funny ", -1
"bad few slow boring amateurish consistent own simplistic such utter evil true honest single aware bad entire ", -1
"good low dismal enough great great minimal proper great ", -1
"horrible huge bad young good only adorable bad sketchy random true unrealistic cheerful pleasant happy rabid likely sick shallow disgusting ", -1
"horrible lame supposed simple stupid great only ", -1
"good poor good crumby good own worthy more minimum other mindless ", -1
"good whole big new ingenious whatever sympathetic petty old dumb tall top whole dumb bad teenage or ", -1
"awful difficult bad acting bad main boring most first many useless good funny friendly ", -1
"boring many same other small cowardly goofy weak other same same same creative good bad middle-aged young different ", -1
"initial good simple mysterious several little sexual red local silly terrific ", -1
"abysmal funny funny funny sad second first ", -1
"dead dead next deformed broad several other several detrimental least lousy human awful ugly female same real last kind good unintended ", -1
"entertaining other cinematic entertaining tongue-in-cheek small abandoned toxic aggressive only willing crazy unintentional stupid new straight clever eccentric grand fine Italian many full clean facial preposterous adequate horrible naughty male female ", -1
"actual scary cool boring scary only redeeming great bad bad boring collective worth own bad good ", -1
"long good 2nd lifeless past ex video few video blue good ashen critical private real stated other foul ", -1
"bad true dreadful bad childish non-existent ", -1
"final ancient other ancient super-duper advanced paranormal old hot advanced secret able such neurological convoluted incomprehensible similar intrepid much dreadful capable acting honest nuclear most throaty all-night past believable pretty dumb good perpetual forgettable preposterous tough breakneck loud right acting same first blind loud first few loud dopey dreadful incoherent ham-handed true much caring demonic cool other low low atrocious tiny ", -1
"real tragic innocent ", -1
"such interesting least other horrible clear slow little creepy little white cool token black stereotypical dizzying wonderful ", -1
"bad funny bad boring amusing other easy bad 2nd awful untalented ", -1
"big due terrible bad loathsome entire stupid little heroic beefy disgusting stupid less redeeming naked naked much next bad disgusting sure ", -1
"perfect great bad first first actual second good old heavy different ", -1
"small first absolute lead other same poor false painful single unrealistic thin hard funny likable bad low perfect perfect dire great similar ", -1
"successful other super ethnic comic bad same more unnatural blatant ", -1
"few unique entire stupid unfunny big other good less great full dopey rectal mental funny funny ", -1
"other bad long few other horrible least bad hard possible redeeming bad visual premier special accurate first ugly old new super new bad fake cheesy good first good several bad ", -1
"sure bad old silly full predictable racist unfunny memorable lead pregnant dead bad top ", -1
"gory inexpensive limited cheesy tame obvious amateur strange incoherent lead Shakespearean great ", -1
"late old endless meaningless little beautiful lovely sprawling ", -1
"decent subject below-average run-of-the-mill stale predictable non-existent good same excellent weepy appalling ", -1
"sad TV-like bad bad sure much common terrible quiet sleepy fresh ", -1
"bad racist sexist homophobic chic sophisticated atrocious ridden boring clear offensive gross good Russian cultured likeable good-looking gay early gay ", -1
"bad original ", -1
"first little second great third novel original OK fourth devastated last okay urban few only decadent capitalist destructive grand antithetical proper religious bad ultimate previous new consistent old definitive ", -1
"putrid savage violent inarticulate disrespectful white evil white covert serious such repulsive unclear private single proper compulsive drunken drunken great handy ready sexual sexual complete utter black stupid frail only limited own ", -1
"musical horrible terrible horrible ", -1
"responsible English first great great true good fairy unfortunate unforgivable good mini ", -1
"classic well-deserved legendary great doomed hopeless pervasive ongoing progressive sure many own first brilliant embryonic abstract sexual dull tiny bright slow great creative unique solo leaky minor sexual repeated unnecessary eternal bittersweet tiny modern extreme such titanic ", -1
"bad terrible bad descriptive poor special genocidal bad funny bad ", -1
"unbelievable absurd small high bad martial former cold cool perfect omnipresent wealthy unimpressive shoddy female memorable ", -1
"bad OK bitchy silly ", -1
"decent hot unexplained unresolved asleep random acting ", -1
"sad low single awful various soft slow Christian more ", -1
"bad amazing nice several good normal parallel dull British furious British British good ", -1
"loony least first funny latter good cheeky least much pedestrian other ordinary Tasmanian super 21st cute super amusing banal various super most mediocre good many mediocre only usual evil predictable animated good previous normal enough ordinary silly modern other imaginative obvious neurotic whole much 2nd new 3rd ", -1
"stand-up comedic same rich white white black real original ", -1
"bad minimal small original outside fake ashamed ", -1
"plotless pointless subject only passionless real married graphic sultry many bloody sleepy-eyed separate spooky isolated dead near secret coherent prospective video ", -1
"good old pointless bad ", -1
"good sappy possible first terrible poor grating bad ", -1
"orange creative poor bad whole more more lackluster terrible awful ", -1
"redundant everlasting useless useless other poor musical directed would-be bad obvious long boring few less good comic efficient bad unbearable impossible dynamic true actual close ", -1
"junior high funny local previous anxious more hot other top-rated non-existent wistful sensitive various next many good only high inferior Spanish worthy high theatrical ", -1
"modern hard young only obsessed more more outright emotional own modern narrative consistent last many important dark particular infra-red unconventional ordinary naked related ordinary ", -1
"poor mediocre amateurish good ", -1
"animated old other stupid bad other mystical hard intelligent Chinese evil bad complete terrible martial weird stunning colorful blurry acid bad hard comic entire bad ", -1
"many many pretentious French bad able pointless relentless violent unpleasant meaningless random pretentious ", -1
"accurate entire only little only cheesy made-up black Asian Olympic Chinese black significant white self-proclaimed few different only black accurate own good more good ", -1
"bad western inaccurate back mysterious bad good horrible little lousy mysterious real good local hard drunk other horrible other ", -1
"only amusing other abysmal funny dry awful main funny tedious plain bad bad ", -1
"charismatic other bad low poor impressive ", -1
"curious risible pretentious political frontal male automatic true R-rated male fleeting R-rated same pretentious pink visible obtuse obvious anatomical nude same female American short explicit alleged double depressing ", -1
"inaccurate modern previous inaccurate correct mad self-absorbed actual perfect true quintessential unofficial last last big seasoned alive ridiculous different dead more dead Mexican fierce mutual Mexican close Mexican first Mexican Mexican ", -1
"American most much bad many embarrassed little good constant long last meaningless more offbeat good wrong other ", -1
"gory bloody precise little dead bad hopeless bloody giant uproarious pointless first necessary silly OK good terrific lousy much needed gory boring ", -1
"free silly funny predictable dramatic other drunk old acceptable same ", -1
"good boring late utter good original next other good other own stupid first possible past good other good recent good funny ", -1
"long rich next wide apparent short third dead inappropriate grave inappropriate wide-eyed breathless good such tedious bloodless main much minor bad only preggers fair decent bad free interesting stuffed obligatory right ", -1
"basic political feel-good recent early few local rough military physical frequent physical psychological contrived purported real first harsh sustained physical wishful good ", -1
"interesting solid lowly contemporary lone occasional lame own good full other good evil good bad good added very new ", -1
"bizarre ridiculous serious exciting flat vague ", -1
"good old stupid good stupid stupid golden dumb offensive dumb American off same drunk single good suicidal ", -1
"first first whole bad first acceptable fourth 3rd rubbish ", -1
"first young awful tired real novel absurd pretentious poor other actual same immature ", -1
"many new modernized modernized many old long only necessary terrible several original least even negative positive ", -1
"decent such amateurish poor such little honest less redeeming entire random appropriate psychotic abysmal corny appalling little digital entire possible due shaky grainy close hard chaotic poor low poor bad poor shoddy disappointed sweet stupid random inappropriate many ", -1
"other wholesome entertaining vapid insipid brainless former more insidious unsuspecting foul good shared wholesome available ", -1
"pitiful bad apt pointless unpleasant meaningless first right dreary tangled great compelling entertaining confusing violent interesting main famous male sloppy unnecessary compelling unique main other trendy frantic incomprehensible groovy real seedy meaningless pointless many unknown famous such painstaking third traditional different big good ", -1
"local faulty least first difficult ready essential disturbing many unique sound historical good distorted ", -1
"many old other other strange enough sufficient more ", -1
"awful endless ", -1
"impossible bad wrong original inaccurate original original least original convincing ", -1
"poor notable most trite weak unfunny painful tenuous more modern same old unfunny modern nostalgic happy same horrible pathetic ", -1
"same fundamental extinct different enough vulnerable subsonic lead vulnerable basic magic heavy small large preferred most immoral non-lethal big fearless mortal dangerous wounded big entire big final unknown large safe large powerful several enough serious big impractical small viable small big famous Mexican American human pointed big uneven full several first brown certain wooden pointed pointed invulnerable second least second engineered high ", -1
"brief funny few bad dull funny few simple clear last few real ", -1
"scary least bad 2nd bad moldy bad other promising first first right most ", -1
"last bad great Roman other sexed high lavish bad Italian spectacular big ", -1
"whole bizarre little few Latin most bizarre pretentious ", -1
"utter more worth horrible awesome ", -1
"good great good good decent good able more new serious serious large personal fancy bad awful bad poor great homeless funny bad white ", -1
"half wrong tired ", -1
"facile regressive self-indulgent ideal inaudible tiresome hand-held simplistic Manichean insensitive good predatory bad only primal infantile primitive first ", -1
"Korean unknown mysterious entire bad good whole little more anonymous only more ", -1
"unimaginative exact bad bad early good bad bad bleak miserable good chase cool actual enjoyable ", -1
"local same tedious boring young few sparse usual disjointed main Caucasian several English odd local ", -1
"honest huge most so-called laughable unrealistic scary only good very ", -1
"Italian lame derivative racial good real many funny local good glowing faulty funny inventive emotional wooden silly ", -1
"big sure evident moral amusing touching visual teen possible good independent many angry ", -1
"funny nasty dead bad scared mean worth stupid ", -1
"last terrible bad entertaining boring good ", -1
"sorry several wonderful sweet filthy few few funny old other black full black boring racist unfunny long legendary many high ", -1
"hot good wrong acclaimed safe wrong superior youthful mediocre poor last interesting acting compelling numerous obvious whole meaningless meaningless wrong watchable awful ", -1
"Nazi-occupied German naive Jewish archival international related cultural Jewish traditional Nazi candid racial frightening offensive such ", -1
"bad bad bottom least bad glowing infamous belated real nearby bad true first medical interested stupid late violent obvious crazed normal nice cheesy very crazed evil long dumb silly dumb real good bad graphic alive alive related easy starred other ", -1
"bad bad bad bad bad bad western hard violent fresh old good such inane hard fresh first good few possible limited next ", -1
"fecal similar dry acting crazy laughable good high new bad ", -1
"many other clear bad entire generous good Chinese good pathetic imbecilic sure memorable other interesting short own favorite direct good ", -1
"bad large few hilarious awful good least ", -1
"Serbian nationalist main Yugoslavian Serbian objective guilty right most independent avoidable independent interested objective ", -1
"bad sheer morbid less frantic rental much possible ", -1
"other such great ", -1
"good only previous new absurd serious hyperactive embarrassing disappointing horrible catchy amazing original amazing powerful catchy creative least weakly disappointing new new catchy more ", -1
"awful few top poor first same same same emotional emotional predictable grand constant exaggerated OK commercial second commercial coincidental few golden bad foreign ", -1
"other redeeming bad good bad tolerable talented talented talented own aware puzzling talented lesser rental first good impressive labyrinthine interior ", -1
"comprehensive late many stupid lame intriguing intriguing upper Greek ", -1
"serious devoid horrid unpolished various difficult good least entire high ", -1
"good other low complete long independent few next distorted next irrelevant long next little hard short pointless much irrelevant streamlined slight final quick nice good next low sure many objective ", -1
"primal stupid top secret military lethal prehistoric gory bad bad unrelated previous graphic grisly ", -1
"first special amazing believable more chase little first little entire previous ", -1
"bad bad ", -1
"many true enormous commercial attractive second modern-day obsessive other obsessive more disappointing interesting hammy preposterous obsessed pregnant distraught intelligent strong native whole regrettable disgruntled desolate final fatal great all-time various other amazing other shoddy talented ill bedraggled black deathly usual sexy long-winded ill-informed brief undeveloped memorable vengeful total such preposterous local credible intelligent genuine single human absurd late most ", -1
"talented black funny gross standard stupid full only old foster hilarious stupid stolen huge good stupid funny bad other dreadful green ", -1
"low overlong same terrible bad whole most whole first independent low terrible awful good funny bad ", -1
"plain boring steamy own toy off-kilter naughty nice blah good naughty graphic weird other bad due decent ", -1
"classic obvious little English whole dark dreary sorry first ", -1
"only good beautiful real countless stray many good sure ", -1
"homophobic mean-spirited gay standard least dimensional thinking good ", -1
"same first typical commercial great grotesque tasteless far laughing ", -1
"flat appropriate live good young suspicious adjacent covert unexpected positive hot extra such potential more general hollow key low-budget independent only decent low-budget special musical overall Swiss vast low least few ", -1
"afraid huge Christian Christian good general afraid illogical wrong main wrong acceptable ", -1
"other Italian first sorry terrible full incoherent goofy clueless main first nutty good dumb naked own ", -1
"least bad general good least original much ", -1
"classic adorable little fuzzy many cold blatant only free ", -1
"pathetic serious sexual stylish good bottom dumb good good bad cheap ", -1
"terrible female alien convict hammy grating innocent alcoholic convict old awful rancid special least ", -1
"good beautiful least humorous more soft terrible beautiful exciting good few ", -1
"personal racial modern main carefree lowbrow African American sheltered soft white unsophisticated unconnected white sudden good unprepared naive unwanted good modern American high large potential personal most good racial bad black fellow white Black white black dark small disappointing third unavailable respective main most American complex high proof same slight ", -1
"dark long little inane nonsensical black main pregnant overnight main white naked bad pointless ", -1
"many sure total convoluted insane honest ", -1
"big other cheap same random old young punky few safe cheap main main various more total bad old forbidden safe wild more worthy manipulative deep blue entertaining such perverted other likely knee-high local wild big safe own free safe old safe evil good sheer enough few alcoholic serious ", -1
"good good wrong bad impossible first good poor confusing ", -1
"enough bad few bad first pregnant real pregnant bad enough possible much ", -1
"high intellectual main deep meaningful worthwhile stunning least pointless doubtful interesting young young welcome botched final close great offbeat ", -1
"bad bad inane good technical other few more random less absolute ", -1
"least teenage unpopular old popular comatose attractive serious hard such excellent crude shallow gross out mental next crass crude ", -1
"deft reminiscent olive tight explosive witty fiery real emotional breathtaking such high stylish special great classy gripping tight ", -1
"amazing very superb good enough fine full first refundable first next whole big average hollow cheesy single big big big ", -1
"sure afraid abject late great excellent most second incapable thinking bittersweet unturned stupid stupid fat awful female double total ex ex last bad poor bad terrible awful noteworthy recent lousy low common critical random bad such other solo American decent shallow unfunny ", -1
"scary good low fitting good good special human good ", -1
"such hard original necessary necessary good many bull enough more only ", -1
"okay false bikini-clad ", -1
"first extreme Serbian Serbian Serbian Serbian radical Serbian other whole few many reasonable Croat early major unrelated pathetic Japanese nuclear Serbian Serbian whole Serbian full Montenegrin ethnic Yugoslav other many few true Croatian many same Bosnian Bosnian short small Macedonian Serbian Serbian Bosnian little extreme Serbian little pathetic real neutral ", -1
"last more absorbing breakneck great actual critical pre-teen teen adult paranoid serious engaged true long interesting serious grown-up ignorant insulting several fine okay previous young cool ", -1
"true verbatim mythical previous hard humanoid giant stiff grey fuzzy little much more booming valiant Shakespearian more claustrophobic small run-down English bad only decent entire mechanical great poor hardcore chunky awkward ready incessant more ready simultaneous comic incongruous imminent whole such new new spectacular great gorgeous subtle seasoned least original cut bratty new wasting ", -1
"bad disposable old bad other great ", -1
"many great awful professional bad unreal first interested awful lame uncomfortable old similar old European ", -1
"inane banal much ", -1
"hard unbiased young bad unfortunate first horrible great horrible lowbrow nasty ", -1
"full-blown right moderate only whole several delirious second bitchy elderly young old various single convict blond atrocious phony independent other torturous long ridiculous fluttery bloody insufferable ", -1
"potential terrible terrible high many most amazing thin good impressive routine special terrible horrendous ", -1
"talented good entertaining grown funny funny old hard same ", -1
"ridiculous unmistakable preachy similar sad mediocre poor decent most occasional poor bad unexpected least incoherent much slow schizophrenic fitting other other poppy other compelling disappointing next unnecessary bad compelling intelligent well-researched realistic Christian secular great good ", -1
"cool bad bad bad juvenile stupid bad ", -1
"bad bad evil Nazi own bad big most green real ", -1
"awful hard first first brilliant fantastic second decent first half-assed native American real clear deep elaborate mystic native American terrible bad least good second ", -1
"good boring slow lacking comical true only believable interesting beautiful revolutionary other little good entertaining ", -1
"bad absurd absurd absurd skinny first right final next iced bridal mocha colored high resident single chapel Reverend Reverend last gay other great good clean gray entire gay lesbian bad sleeveless black satin-like straight lesbian full secret peachy oblivious whole ", -1
"bad several random live long tiresome relentless pitiful brutal rare sole cheesy rare worth many many good ", -1
"ominous dynamic ", -1
"bad Turkish super Italian bad famous clear fat tight futuristic ghastly facial horrible third good promised ", -1
"psychedelic good bad startling mythological such good Christian private old false childish good particular private interested first ", -1
"great terrible memorable musical long pop good slow terrible impossible die-hard Broadway entire complete memorable enough expensive polished ", -1
"early goofy plastic little other many other good old ridiculous scornful hard ridiculous good plastic laughable same everyday ridiculous many late bad bad more bad commericial bad ", -1
"awful bad bad bad good acclaimed similar nice big first good good short last bad bad happy many good ", -1
"realistic bloody tail asinine fake few tough good stupid bad stupid high sick fake fast interested complete other latter former only traditional least artistic lame shocking ", -1
"nice fast furious lacking least powerless wrong fast furious bad absolute bad nice non-existent exotic wonderful first good local joint ", -1
"sure scary other special great sure awesome first few special least classic good gorgeous whiny cartoonish admirable 13th least least gory attractive ", -1
"stupid stupid several positive normal ", -1
"good bad structured long half first same OK fine wonderful lifeless nice fantastic whole other simple sappy old evil blah more main good rich final main most only main willing only other only impressive bad last good most Asian good half regular old Italian good main Asian silly nice vain nice ", -1
"psycho scary stupid girlish tired crying last Asian Japanese Chinese pretty much only scary obnoxious ready much much much bad other first cheap quick dull cheap ", -1
"so-called miserable least impervious many sundry occasional ", -1
"first fast global fresh slow difficult ", -1
"disturbing pointless young newborn unsettling imaginable real pure whole dumb whole smart unsettling much disturbing equivalent painful dental ", -1
"several Dutch good bad low bad bad sickening potential interesting interesting stupid bad big human ", -1
"many other mindless action-oriented good cute cohesive weird faithful original whole mad few thinking good quick original only ", -1
"more early video tabloid headlong innocuous most incorrect hardcore nasty squeamish long hot helpless young black credible mad slick obvious innocent wrong ", -1
"so-called analytical new good forgetful sloppy carefree new such spicy married second unfunny stale easy funny easy predictable different same blind funny easy few emotional obvious less good ", -1
"funny gifted hyperactive crazy mediocre decent comedic hilarious contemporary capable excellent ideal pure recycled bad unfunny funny few much silly special amusing able special special funny whiny humorless more funny superb last good linear bitter nagging grumpy subject few minor comedic silly heavy-handed black devoid close funny ", -1
"constant constant utter promising utter bad true racist creative funny ugly tenacious good leftover refried ", -1
"sentimental pathetic Danish obsessed naive brutal local mental enough stereotyped unconvincing full grotesque kind Danish sentimental naive big eyed small minded small cartoonish sorry ", -1
"pure aimless delightful deep distinct most positive shallow humourless lame unfunny cold canned kind good challenging possible close unexpected sisterly comic such same obvious comedic uninspired dull tight directorial pedestrian particular embarrassing big veteran possible easy wide inconsequential flimsy ", -1
"terrible late wide bad cosmic would-be painful elementary sure small old slow impacted ominous green capable mere little scientific old male more less big ice-cold muddy video other bad enough other original same quick ", -1
"predictable widowed young single dead pushy video big illegal legal illegal native blithering own fruitless poor little cute big ridiculous angry experienced gruff unemployed sick insightful expensive cerebral good dumb angry sudden poor innocent little many ridden little good vice ", -1
"terrible Italian least real bad good hardcore ordinary erotic uninspired unconvincing only good few happy revolting sudden back sexy awake ", -1
"bad pretentious same bad whole hard little great great bad ", -1
"dumbfounded independent whole great least total actual total ", -1
"fabulous various more awful American classic ", -1
"horrible first hand-held digital next third horrible many second horrible pretentious bad ", -1
"good great widowed dead shocking shocking much unexplained undiscovered uninteresting shocking bad first bad ", -1
"hip whole obvious young least dated many overwrought silly stilted first true actual great trite predictable reminiscent bad good able few late good ", -1
"such poor certain close funny nervous gross disgusting nervous ", -1
"senile such unintelligible nude little heady real most impossible liberal afraid high phony ", -1
"funny cinematic bad doomed appropriate impressionable female emotional certain fiery romantic metaphysical same bizarre naked little celestial bizarre such bad national racial convoluted universal little noble poor bad bad black white funny fellow fiery funny female poor off good early least lame bad funny good ", -1
"many good dire sure-fire cinematic full dumb big narcissistic solo stillborn whole precious South zany obvious sure human high-school more interested other ", -1
"late recognizable funny subjective bold great least funny real bad bad bad funny same bad bad ", -1
"such dismal third great right talented unfunny unfunny bad bad least thankful many other tired bad big ", -1
"powerful next bad high sexual naked disturbing naked rich poor foreign British sick ", -1
"slow pitched slow same worth ", -1
"flat lame young terrible teen teenage old horrific antique nasty few collect ", -1
"sure other few glad big sure hard live closed multiple random good bad ", -1
"awesome cold dark generous poetic blunt dramatic suspenseful controversial ordinary wretched good awful ", -1
"bad big ", -1
"unaware early wonderful technical original flip awful awful main first original main bad thick old awful ", -1
